Year,Month,Day,Hour,v_10m_ms,v_100m_ms,Power_MW,CF_wind
2020,1,1,0,2.7489355679388177,4.066019321927504,0.023645807061438137,0.023645807061438137
2020,1,1,1,3.09255251393117,4.574228785050193,0.040393410643778604,0.040393410643778604
2020,1,1,2,3.09255251393117,4.574228785050193,0.040393410643778604,0.040393410643778604
2020,1,1,3,2.7489355679388177,4.066019321927504,0.023645807061438137,0.023645807061438137
2020,1,1,4,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,1,1,5,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,1,1,6,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,1,1,7,2.4053186219464653,3.557809858804815,0.010602466959490721,0.010602466959490721
2020,1,1,8,2.5771270949426412,3.8119145903661593,0.016690041188190483,0.016690041188190483
2020,1,1,9,2.7489355679388177,4.066019321927504,0.023645807061438137,0.023645807061438137
2020,1,1,10,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,1,1,11,2.9207440409349936,4.320124053488848,0.031527638804784035,0.031527638804784035
2020,1,1,12,3.436169459923522,5.082438248172882,0.06130827151091521,0.06130827151091521
2020,1,1,13,3.7797864059158743,5.590647711295571,0.08685338346725097,0.08685338346725097
2020,1,1,14,4.123403351908226,6.099028982891255,0.11750301153076637,0.11750301153076637
2020,1,1,15,4.123403351908226,6.099028982891255,0.11750301153076637,0.11750301153076637
2020,1,1,16,3.6079779329196984,5.336542979734226,0.07347310899015798,0.07347310899015798
2020,1,1,17,3.6079779329196984,5.336542979734226,0.07347310899015798,0.07347310899015798
2020,1,1,18,3.6079779329196984,5.336542979734226,0.07347310899015798,0.07347310899015798
2020,1,1,19,3.95159487891205,5.844752442856914,0.10150696916774445,0.10150696916774445
2020,1,1,20,4.467020297900579,6.607238446013944,0.15369956374330104,0.15369956374330104
2020,1,1,21,4.638828770896755,6.861343177575288,0.17402617362116546,0.17402617362116546
2020,1,1,22,4.9824457168891065,7.369552640697977,0.21942543204784024,0.21942543204784024
2020,1,1,23,5.1542541898852825,7.623657372259322,0.24461382904775145,0.24461382904775145
2020,1,2,0,4.9824457168891065,7.369552640697977,0.21942543204784024,0.21942543204784024
2020,1,2,1,4.810637243892931,7.115447909136632,0.19591550498082833,0.19591550498082833
2020,1,2,2,4.810637243892931,7.115447909136632,0.19591550498082833,0.19591550498082833
2020,1,2,3,5.1542541898852825,7.623657372259322,0.24461382904775145,0.24461382904775145
2020,1,2,4,5.669679608873811,8.386143375416351,0.3308498915931263,0.3308498915931263
2020,1,2,5,6.013296554866163,8.89435283853904,0.39778243169693783,0.39778243169693783
2020,1,2,6,6.18510502786234,9.148457570100385,0.43425839626133994,0.43425839626133994
2020,1,2,7,6.356913500858516,9.402562301661728,0.47281798946813985,0.47281798946813985
2020,1,2,8,6.528721973854691,9.656667033223073,0.5135190855428885,0.5135190855428885
2020,1,2,9,6.528721973854691,9.656667033223073,0.5135190855428885,0.5135190855428885
2020,1,2,10,6.528721973854691,9.656667033223073,0.5135190855428885,0.5135190855428885
2020,1,2,11,7.044147392843219,10.418981227907107,0.6490501332303288,0.6490501332303288
2020,1,2,12,7.044147392843219,10.418981227907107,0.6490501332303288,0.6490501332303288
2020,1,2,13,7.044147392843219,10.418981227907107,0.6490501332303288,0.6490501332303288
2020,1,2,14,6.872338919847044,10.164876496345764,0.6015772831984328,0.6015772831984328
2020,1,2,15,6.700530446850868,9.91077176478442,0.5564195587111362,0.5564195587111362
