npc_cad,lpsp,co2_kg,gini
91459859.06460366,0.0,485579.2944751635,0.2922661585546954
80400220.19068933,0.03358124055691538,426861.38591429405,0.3167249915754121
65160995.664830446,0.015718080711468223,345953.1933006557,0.4789717044183639
69784813.9989158,0.0,370502.0004758402,0.4614818680480396
83994557.01889358,0.04947388100714016,445944.4630040224,0.2662487831184907
78129950.02513172,0.01850739284750742,414808.0523914336,0.36321464430176603
93035334.48807882,0.022001909859028345,493943.81911382114,0.24827123770818257
96809763.12634481,0.009530145980686296,513983.0408441044,0.24593447152764555
63235871.83145364,0.029336866834596055,335732.31298934744,0.4733176376923776
71906179.95214358,0.018231123071602184,381764.770760281,0.4141638688935785
62066962.09873968,0.04366289277729905,329526.3296309491,0.4591480945268921
67188200.51518305,0.017656235779203156,356716.0428289447,0.45740804078554925
65991747.44752647,0.0,350363.82621274644,0.5017069161926505
84252689.95671609,0.02079693395406222,447314.9441212096,0.3090415746363913
81881141.36781643,0.010732732088603964,434723.9025168482,0.34698951862857974
74463390.21807955,0.0,395341.5285801321,0.4230020578274962
65960267.83329013,0.005647243177474355,350196.69443463563,0.4918663776467106
99718973.59946994,0.0,529428.6405144692,0.24354988475270697
102194065.59400702,0.04286451848150592,542569.415459459,0.1820948409777576
115738637.04756661,0.0,614480.3446654859,0.19333043033237418
65729667.566240825,0.0,348972.38995696866,0.5042649835152867
65752529.92288073,0.049804936094452024,349093.77093350614,0.4103635093980453
68815209.91712788,0.04584395329010422,365354.17201021506,0.3957705847156925
73245802.9129563,0.03203028357257419,388877.1059292505,0.3815744470901707
110300876.32820976,0.03165189833075732,585610.149143263,0.17680107484287358
75530010.36389667,0.04995854642194235,401004.43538073223,0.33122831991078416
85092965.20275955,0.0,451776.1390684982,0.3385086752437673
79335826.27264246,0.0,421210.2986170376,0.3870185954000017
88409343.22230695,0.03730591301966521,469383.4753952169,0.25378266693168877
113689612.23394877,0.015722063084493313,603601.648442525,0.18183420878001733
93864742.29041979,0.04878925521583795,498347.3165564363,0.20577482606410605
67468946.9569346,0.028880864834134608,358206.58371219534,0.4324072138458457
87871827.44638553,0.008973017416883607,466529.6930483971,0.3032184711937458
70595830.7616754,0.007558468679082818,374807.85608830245,0.4428493248151158
76358235.7217984,0.008287782820991801,405401.6549814347,0.3930683307366199
